Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.93,7.4,0.86,0.428,F5IV,18.27616,1
9.69,3.79,3.55,0.496,F6V,17.583195,1
9.01,4.16,1.47,0.111,A0V,17.105467,1
6.36,7.75,0.65,-0.011,A0V,15.806509,1
7.59,25.15,0.97,0.626,G2V,19.59269,1
7.03,11.03,0.79,1.065,K1III,17.242878,0
7.98,6.3,0.98,0.119,A2IV/V,16.976704,1
8.98,25.79,1.28,0.795,K0V,21.037256,1
9.38,7.23,1.55,0.465,F3/F5V,18.675692,1
9.33,2.59,1.08,1.068,K1III/IV,16.3965,1
7.76,0.35,0.7,-0.092,B0III,10.480341,0
4.99,53.7,1.24,0.577,G2V,18.639872,1
9.25,16.42,1.63,0.688,G6/G8V,20.326866,1
5.65,3.01,0.57,-0.186,B2V,13.042833,1
7.09,6.3,0.9,0.136,A2III,16.086704,0
9.28,9.19,0.78,0.513,F6V,19.096577,1
6.91,4.85,0.88,1.114,K2III:,15.338708,0
5.93,14.91,0.77,0.49,F4III-IV,16.797388,1
9.15,21.59,1.25,0.78,G5V,20.821262,1
8.5,1.21,2.05,0.915,G5III,13.913927,0
8.23,4.29,0.83,1.346,K2/K3III,16.392286,0
4.98,2.71,0.9,1.378,K3II-III,12.144846,0
9.65,4.25,1.5,0.09,B8II,17.791945,0
8.33,4.96,0.78,1.147,K0III,16.807407,0
6.85,7.18,0.74,0.407,F0/F2III,16.130623,0
5.64,18.28,0.79,0.42,F4II-III,16.94988,0
9.0,5.08,0.81,0.248,F0III,17.52932,0
7.2,1.98,0.85,1.48,K3III,13.683326,0
8.38,4.71,0.7,0.098,A2V,16.745106,1
6.25,18.73,0.55,0.377,F3V,17.612688,1
6.96,4.32,0.7,1.453,K3III,15.137419,0
8.47,7.46,1.48,0.291,A3IV,17.833694,1
7.82,1.55,0.69,1.463,K2III,13.771658,0
7.3,2.37,0.87,1.213,K2III,14.173742,0
9.67,11.38,1.47,0.701,G6/G8V,19.950712,1
8.31,1.8,1.11,1.545,M1/M2III:,14.586363,0
7.91,9.99,1.28,0.565,F8V,17.907827,1
3.01,6.18,0.85,-0.125,B5III SB,11.964943,0
7.88,3.28,0.66,1.047,G8/K0III,15.45937,0
8.95,4.74,1.83,0.121,A0V,17.328892,1
8.5,4.21,1.11,1.208,K0III,16.62141,0
8.59,3.9,1.09,0.483,F3V,16.545322,1
9.8,76.47,1.05,1.377,K7V,24.217457,1
10.21,4.21,1.64,0.628,G3/G5V,18.33141,1
7.41,3.48,0.55,0.112,A2V,15.117896,1
5.75,4.63,0.67,1.451,M5III,14.077905,0
6.91,3.27,0.96,1.398,K1/K2III,14.4827385,0
10.08,6.95,1.12,0.588,G2/G3V,19.289925,1
7.7,2.26,1.28,1.271,K2III,14.470542,0
6.26,1.43,0.8,-0.124,B2IVne,12.03668,1
5.74,5.72,0.53,0.903,G6/G8III,14.526979,0
9.14,0.65,1.08,1.064,G8IV/VCN...,13.204567,1
8.37,0.52,1.44,1.514,K3III,11.950016,0
7.11,5.24,0.58,1.236,K2IIICN...,15.706657,0
9.09,11.84,1.36,0.67,G3V,19.45676,1
9.29,6.1,0.81,0.702,G0V,18.216648,1
8.34,4.2,0.77,1.196,K1III,16.456245,0
8.33,3.36,1.1,1.208,K2III,15.961697,0
6.84,2.51,0.64,1.358,K2III,13.838368,0
6.94,12.43,0.83,0.393,F3/F5III/IV,17.412355,1
8.03,1.38,1.05,-0.062,B9Ib/II,13.729395,0
10.19,4.11,2.74,2.57,CVIIe,18.259209,0
9.55,10.72,6.97,0.619,G3V,19.700974,1
7.84,4.11,1.15,1.131,K0III,15.909209,0
8.11,3.76,1.05,0.382,A9V,15.985939,1
8.67,4.34,1.18,0.286,A7IV,16.857449,1
9.04,10.82,1.43,0.545,F8V,19.211136,1
7.82,9.59,1.12,0.878,G8III,17.729094,0
5.81,44.8,1.94,0.53,G0V,19.06639,1
6.52,6.14,0.51,-0.08,B7V,15.460842,1
4.33,10.77,0.64,1.344,K3/K4III,14.491077,0
6.4,20.59,0.73,0.542,F7V,17.96828,1
8.36,3.59,1.09,0.112,A0IV/V,16.135471,1
9.32,3.49,1.48,0.955,G8III,17.034126,0
8.19,1.64,0.89,1.645,M1III,14.264219,0
10.62,3.71,1.61,0.877,G5III,18.46687,0
5.98,6.98,0.82,0.867,G6III,15.199276,0
9.07,2.45,1.49,0.891,G8III,16.015831,0
7.18,11.96,0.56,0.415,F3V,17.568655,1
8.03,3.7,0.95,-0.048,B9V,15.871009,1
9.6,8.22,1.14,0.614,G1V,19.174358,1
8.72,4.13,1.41,0.432,F0V,16.799751,1
10.5,2.53,1.59,0.66,B0.5V,17.515602,1
9.73,3.29,1.78,0.57,O9V,17.315979,1
6.32,7.81,0.96,1.1,G9:III:,15.783255,0
8.05,6.41,0.97,0.141,A0III...,17.08429,0
9.62,4.61,1.53,-0.104,B5III,17.938503,0
8.47,2.14,0.83,1.19,K2III,15.122069,0
7.91,11.13,1.4,0.422,F2V,18.142475,1
7.76,1.4,1.01,-0.026,B7V,13.490641,1
6.06,6.38,1.26,1.608,M1III,15.084105,0
8.76,2.65,0.98,0.903,G8III,15.87623,0
7.37,3.17,1.01,1.549,K4III,14.875297,0
0.18,4.22,0.81,-0.03,B8Ia,8.306562,0
6.42,2.06,0.77,-0.044,B8IIIp SiSr:,12.989336,0
7.89,2.44,1.13,0.864,G5III,14.82695,0
7.91,1.99,0.7,-0.06,B8III/IV,14.404265,1
6.46,5.92,0.93,1.08,K1III,15.321609,0
8.98,4.88,1.34,1.177,K1III,17.422098,0
9.15,11.94,1.22,0.747,G3/G5V,19.535023,1
8.51,6.2,1.12,0.521,F5V,17.471958,1
8.6,8.66,1.2,0.703,G5V,18.28759,1
8.96,2.66,1.24,0.012,A0V,16.084408,1
10.4,-0.46,1.07,0.013,B2.5Iab:e,13.713789,0
8.64,5.2,1.07,0.516,F5V,17.220016,1
9.23,8.82,1.52,0.457,F5V,18.957342,1
8.75,12.85,1.36,0.594,G0V,19.294516,1
5.82,18.12,0.74,0.182,A4V,17.11079,1
8.36,1.63,0.77,1.066,K0III,14.4209385,0
8.14,1.89,1.03,1.581,M1III,14.522309,0
8.58,-2.4,1.27,3.315,M0I-M4Ia,15.481056,0
6.89,4.17,1.53,-0.089,B8V+...,14.990681,1
9.15,2.12,0.87,1.142,K1III,15.781679,0
8.08,7.46,3.16,0.25,A3III:m...,17.443695,0
8.1,15.57,1.01,0.524,G1V,19.061443,1
4.94,6.64,0.45,-0.051,A0III,14.05084,0
5.17,18.08,0.9,0.128,A3V,16.455992,1
8.2,-1.16,1.02,1.05,G8III,13.522289,0
8.9,-1.16,1.44,1.879,M3IIIvar,14.22229,0
8.25,3.27,0.82,1.059,K0III,15.822739,0
6.51,2.59,0.53,-0.127,B5II-III,13.576499,0
9.73,5.79,1.56,0.662,F3V,18.543392,1
7.43,0.57,0.98,-0.034,B5Ve,11.209374,1
8.33,9.0,0.93,0.443,F3V,18.101212,1
5.85,5.2,0.57,0.827,K0/K1III+..,14.430017,0
8.09,14.87,1.08,0.626,G3V,18.951553,1
8.48,7.44,1.14,0.505,F3V,17.837864,1
7.07,3.54,0.64,1.148,K0III,14.815016,0
7.92,1.38,0.72,1.537,K4/K5III:,13.619396,0
8.12,2.42,0.95,1.111,K0III,15.039077,0
8.74,4.08,0.89,0.977,K0III,16.7933,0
9.64,7.91,1.63,0.509,F5V,19.130882,1
8.76,17.66,1.29,0.58,F8V,19.994953,1
9.38,4.73,1.54,1.23,K2III,17.754307,0
4.73,0.7,0.48,0.164,A7Ib,8.95549,0
8.82,15.64,0.78,0.58,G0V,19.791183,1
6.56,2.36,0.55,1.082,G5Ib/II,13.42456,0
7.51,3.63,0.65,0.088,B9V,15.309534,1
8.66,0.45,1.28,0.149,A1II/III,11.926063,0
7.42,3.88,0.76,1.373,K2/K3IIICN.,15.364159,0
7.94,2.13,0.89,0.081,A1IV,14.581898,1
7.04,6.82,0.88,0.09,A1/A2V,16.208921,1
6.29,2.93,0.94,-0.04,B5V,13.624338,1
9.08,7.82,1.24,0.743,G5IV,18.546034,1
7.2,4.27,0.85,1.062,K0III,15.352139,0
8.15,31.45,0.86,0.766,K0V,20.638103,1
7.86,2.37,0.79,1.653,M0III,14.733742,0
7.27,0.69,0.63,-0.1,B5III,11.464245,0
8.52,0.52,1.11,1.342,K2II-III,12.100018,0
9.01,1.43,0.91,1.06,G8III,14.78668,0
8.53,1.06,0.69,-0.009,B9IV/V,13.656528,1
8.86,0.71,1.1,1.111,G8/K0III,13.116291,0
7.67,2.42,0.9,-0.087,B8V,14.589077,1
8.51,21.11,1.16,0.592,G3V,20.13244,1
6.44,18.75,0.82,0.514,F6V,17.805006,1
8.1,3.35,0.59,-0.022,B8/B9V,15.7252245,1
7.11,3.22,0.93,1.71,M1III,14.64928,0
5.76,9.18,0.87,-0.072,B9IV,15.574214,1
9.28,12.99,1.34,0.58,G3V,19.848045,1
8.99,1.5,1.28,-0.074,B6V,14.870456,1
6.0,20.0,0.94,0.418,F5V,17.50515,1
6.84,4.93,0.94,1.607,M2/M3III,15.3042345,0
7.2,2.75,0.81,1.081,K0III,14.396664,0
7.07,5.18,0.88,1.681,M2II,15.641649,0
9.23,0.52,1.53,1.022,K0III,12.810017,0
6.67,5.96,0.76,1.349,K3III,15.546231,0
8.85,3.99,1.43,1.107,K0/K1III,16.854866,0
8.17,7.46,0.99,0.399,F0IV,17.533695,1
9.54,4.14,1.24,0.587,G2V,17.625002,1
8.77,14.36,2.42,0.569,F8V,19.555773,1
7.75,10.05,0.92,0.752,G6V,17.76083,1
8.92,1.09,1.09,0.155,A5IV/V,14.107132,1
8.85,1.82,1.2,1.58,K2/K3III,15.150357,0
7.58,3.6,1.19,1.169,K1III,15.361513,0
8.65,-0.08,1.48,0.17,B5V:nne,8.165449,1
5.57,15.02,0.51,0.118,A2V,16.45335,1
6.89,1.97,0.98,1.662,M1III,13.362331,0
10.27,1.0,1.69,1.232,K1III,15.27,0
5.94,21.86,0.69,0.468,F6V,17.63825,1
6.56,1.87,0.54,1.337,K2IIICN...,12.919209,0
8.1,1.91,0.95,1.092,K0III,14.505167,0
7.03,18.49,0.81,0.604,G2V,18.364685,1
7.22,1.95,0.59,1.705,K1Ib:,13.670174,0
9.46,3.02,1.23,0.507,F5V,16.860035,1
8.71,0.97,1.17,1.367,K2/K3III,13.643859,0
9.16,6.82,0.9,0.491,F5V,18.328922,1
6.27,7.07,0.54,1.315,K3III,15.517097,0
9.22,5.85,1.2,0.501,F5V,18.055779,1
9.14,2.72,1.18,1.225,M4/M5III,16.312845,0
9.1,1.42,0.83,0.813,G5III+...,14.861443,0
11.14,4.57,2.76,1.006,G8III,19.43958,0
9.31,7.09,0.86,0.534,F6V,18.563232,1
8.41,19.12,1.41,0.71,G2V,19.81744,1
8.77,14.22,0.76,0.581,G0V,19.5345,1
7.31,4.25,0.92,0.043,A0IV/V,15.451944,1
7.64,4.31,0.85,0.833,G3/G5IV,15.812386,1
6.34,4.31,0.66,1.568,M1III,14.512386,0
9.0,3.84,1.33,1.092,G5III,16.921658,0
8.62,8.2,1.25,0.478,F2V,18.189068,1
9.3,3.91,1.66,1.137,G8/K0III,17.260883,0
5.6,40.04,0.92,0.588,G0.5IV,18.61247,1
7.02,5.72,0.86,0.168,A3III,15.80698,0
7.01,4.91,0.96,0.994,G8III,15.465408,0
8.77,7.12,1.17,0.561,G0V,18.0324,1
6.49,7.55,0.78,0.927,G8III,15.879735,0
8.6,1.65,1.06,1.024,G8III,14.68742,0
9.61,7.95,1.51,0.516,F6/F7V,19.111835,1
7.79,2.46,0.85,-0.089,B3V,14.744676,1
7.23,0.7,0.63,-0.14,B2III,11.45549,0
7.69,3.06,0.8,1.178,K2III,15.118607,0
6.94,3.53,0.63,1.61,M1III,14.678874,0
8.89,2.05,0.84,-0.079,B8V,15.44877,1
3.89,24.49,0.72,1.088,K1III-IV,15.834944,1
8.36,2.93,1.82,0.025,A0V,15.694338,1
8.65,3.63,1.13,1.058,K0III,16.449533,0
8.75,7.98,0.78,0.611,G0V,18.260014,1
8.05,4.76,1.13,0.26,A5V,16.438034,1
5.77,9.35,0.66,0.92,G8III,15.624058,0
8.51,1.74,1.0,1.28,K0II,14.712746,0
8.19,3.92,0.66,-0.019,B9V,16.15643,1
6.6,6.27,0.49,0.03,A1/A2V,15.586338,1
9.67,3.44,1.56,0.306,A9V,17.35279,1
7.28,3.09,0.81,1.603,K5III,14.729794,0
8.38,2.02,0.89,0.977,G8III,14.906757,0
7.97,2.78,0.99,0.944,G8III+...,15.190224,0
8.53,2.99,1.2,0.998,G8/K0III,15.908356,0
8.74,2.98,1.1,1.185,K0III,16.11108,0
9.21,3.51,0.97,1.328,K2III,16.936535,0
9.96,1.94,1.91,0.63,O9.5Ia:,16.39901,0
7.91,6.58,0.8,0.425,F3V,17.00113,1
8.62,4.21,0.83,1.248,K2III,16.74141,0
10.18,3.0,1.08,0.402,F2V,17.565607,1
7.14,5.93,1.03,0.053,A0V,16.005274,1
6.31,7.01,0.54,-0.028,A0V,15.5385895,1
7.98,2.27,0.66,0.76,F7/F8III,14.760129,0
8.18,2.01,0.95,1.537,K3/K4III:,14.69598,0
8.52,2.2,1.24,1.084,K1III,15.232114,0
8.36,2.75,0.74,0.882,G8III+...,15.5566635,0
8.14,12.13,0.97,0.427,F5Vvar,18.559303,1
6.96,2.68,0.8,1.26,K1III,14.100674,0
8.68,2.07,0.81,-0.02,A0V,15.259851,1
7.62,8.67,1.0,0.436,F2V,17.310095,1
9.49,6.76,1.0,0.604,G0V,18.639732,1
9.37,1.68,1.2,1.008,K0III,15.496546,0
5.36,5.08,0.61,1.344,K2II-III,13.889318,0
8.04,4.43,1.02,1.187,K2III,16.272018,0
9.7,-0.03,0.9,-0.009,B3III,7.085606,0
9.61,0.19,1.25,0.175,A3III,11.003767,0
9.39,2.35,1.27,0.26,A2V,16.24534,1
7.89,2.85,0.78,1.352,K2III,15.164225,0
9.2,4.0,1.37,0.557,F4V,17.2103,1
10.07,5.68,1.69,0.752,G3/G5V:,18.841742,1
4.27,17.14,0.81,0.952,K0III,15.440054,0
7.96,3.7,1.13,1.117,K0III,15.801009,0
8.01,0.1,1.04,0.013,B7/B8II,8.01,0
6.3,2.15,1.02,-0.01,B5III,12.962193,0
8.15,0.99,1.18,1.568,K2/K3III,13.128176,0
9.45,3.65,1.42,0.952,G9III,17.261465,0
8.72,3.96,1.18,1.084,G8IV,16.708477,1
7.33,16.91,0.53,0.464,F6V,18.470718,1
6.07,12.38,0.68,1.075,K2III,16.533602,0
9.37,18.22,1.59,0.95,K3V,20.67274,1
7.61,7.71,1.11,0.251,A3/A4IV,17.045273,1
8.15,4.3,0.73,0.445,F3IV/V,16.31734,1
7.95,1.8,0.85,-0.081,B9II/III,14.226362,0
8.36,0.8,1.24,-0.006,B8/B9III,12.87545,0
8.73,11.33,0.79,0.627,G2V,19.001148,1
5.86,9.56,0.69,1.085,K0III,15.762289,0
7.36,4.1,0.96,0.987,K0III,15.42392,0
6.86,6.16,0.86,0.973,K0III,15.807903,0
8.28,4.55,0.94,1.114,K1/K2III:,16.570057,0
7.91,1.72,1.02,1.487,K4III,14.087643,0
8.94,7.52,1.29,0.684,G3III,18.321089,0
7.42,9.84,0.82,1.09,K1IV,17.384975,1
6.22,11.13,0.73,0.009,A1V,16.452477,1
6.64,2.66,0.75,-0.074,B5V,13.764408,1
8.82,3.9,0.95,0.651,G1V,16.775322,1
7.01,6.15,0.88,1.09,K1III,15.954376,0
6.43,7.63,0.71,0.924,K0III,15.842623,0
9.05,3.1,1.23,1.596,K3/K4III:,16.50681,0
7.82,6.04,1.29,1.231,K2III,16.725185,0
6.66,6.39,0.5,0.978,K0III,15.687504,0
6.0,3.12,0.72,1.597,M4III,13.470773,0
7.95,2.15,0.68,1.556,K3/K4III,14.612192,0
9.02,3.51,1.08,0.41,F2V,16.746536,1
6.09,5.31,0.77,0.098,A0III,14.715473,0
9.91,10.18,1.54,0.633,G5IV/V,19.948738,1
10.61,3.94,1.78,0.248,A9V,18.58748,1
8.37,0.14,1.06,1.453,K3III,9.10064,0
8.92,0.6,1.41,1.35,K4III,12.810757,0
7.85,2.86,1.03,0.953,G8III,15.13183,0
8.33,3.29,0.9,1.075,G8III,15.915979,0
6.83,17.23,1.78,0.458,F6V,18.011425,1
8.05,57.26,1.45,1.065,K5V,21.839256,1
8.85,3.16,1.56,0.885,G5II,16.348436,0
7.46,4.73,0.67,0.16,A2IV,15.834306,1
6.88,7.08,0.55,0.081,A2V,16.130165,1
6.38,13.26,0.7,0.122,A3Vnn,16.992718,1
8.68,8.88,1.08,0.329,F2IIIm...,18.422066,0
9.84,3.48,1.54,0.419,F2/F3V,17.547897,1
8.83,7.57,1.05,0.461,F3V,18.22548,1
9.33,0.46,3.21,0.4,A9V,12.643789,1
10.1,23.47,1.77,0.975,K3V,21.952564,1
7.48,4.95,1.0,1.226,K1III,15.953026,0
8.93,3.77,1.14,1.1,K1/K2III,16.811707,0
8.06,15.03,0.98,0.475,F5V,18.944796,1
9.66,0.85,1.66,0.352,B8III/IV,14.307095,1
8.17,12.03,0.99,0.5,F7V,18.571327,1
8.3,3.66,1.2,1.147,K0III,16.117405,0
8.97,1.74,2.12,0.674,B7IIIe+K3III,15.172747,0
7.93,11.74,1.42,0.435,F3V,18.27834,1
8.97,7.15,1.46,0.362,F0V,18.241531,1
7.56,6.29,1.01,1.115,K1III,16.553253,0
8.91,3.25,1.25,1.439,M3III,16.469418,0
8.94,2.76,0.77,1.032,G8III,16.144547,0
8.2,2.51,1.02,1.206,K2III,15.198368,0
8.05,2.87,0.9,-0.025,B9IV,15.33941,1
8.7,-0.78,1.22,0.98,G9III,13.160473,0
8.62,0.05,1.13,1.696,K2III,7.1148496,0
7.31,8.68,0.54,1.036,K0III,17.002598,0
9.21,2.88,1.81,1.181,K0V,16.506962,1
7.88,5.78,1.04,0.383,F0V,16.68964,1
5.68,19.27,0.6,0.36,F1III-IV,17.104408,1
7.07,-0.6,0.97,-0.142,B2V,10.960756,1
8.99,1.69,1.61,1.095,G8/K0IV:,15.129433,1
4.96,13.35,0.81,1.055,K0III,15.587405,0
8.13,3.79,1.45,0.897,G8IV,16.023197,1
5.99,8.59,0.62,0.917,G8III,15.6599655,0
9.18,5.38,2.5,1.144,K1III,17.833912,0
7.46,9.1,1.03,0.222,A7V,17.255207,1
8.84,33.98,1.07,0.925,K1V,21.496117,1
7.22,3.63,0.71,-0.048,B2/B3Vn,15.019533,1
9.61,6.19,1.25,0.602,G3V,18.568453,1
9.36,2.15,1.55,-0.021,B0.5V,16.022192,1
8.91,1.21,1.31,0.111,B6II,14.323927,0
6.95,3.13,0.65,0.13,A2/A3IV/V,14.427722,1
8.16,10.21,0.92,0.311,A9V,18.205128,1
5.99,2.45,0.76,-0.077,B3II/III,12.93583,0
7.62,0.59,0.76,1.272,K1III,11.47426,0
9.29,6.99,1.48,0.483,F3V,18.512386,1
7.8,12.36,1.13,0.434,F2V,18.260094,1
7.45,9.69,0.85,1.199,K2III,17.381618,0
7.29,20.2,1.01,0.803,K0III,18.816757,0
8.23,3.77,1.11,1.133,K1III,16.111706,0
7.03,5.12,0.66,1.05,K0II,15.576351,0
7.94,4.7,1.01,0.997,K0III,16.30049,0
8.88,2.9,1.12,1.011,K1III,16.19199,0
7.6,11.23,1.17,0.411,F3V,17.851898,1
7.19,8.06,0.94,1.18,K3III,16.721676,0
8.93,1.92,1.09,1.165,K1III,15.346506,0
8.55,11.81,0.82,0.586,F8V,18.911251,1
5.93,7.4,0.82,1.403,K4III,15.276159,0
8.71,4.3,1.18,1.075,K1III,16.877342,0
7.66,8.2,1.18,0.274,A3III:,17.229069,0
9.91,0.26,1.47,1.11,K0III,11.984866,0
5.01,8.51,0.99,1.117,K2III,14.659648,0
8.83,12.75,0.82,0.556,F7V,19.357552,1
4.85,1.01,0.64,0.243,A6Ib/II,9.871607,0
5.94,6.88,0.92,0.824,K0III+...,15.127943,0
9.52,42.59,1.09,1.185,K7V,22.666538,1
8.44,4.02,1.4,1.06,G6II-III,16.46113,0
7.92,7.84,0.92,0.403,F3V,17.39158,1
8.63,4.29,1.24,0.379,F0V,16.792286,1
7.57,9.86,0.6,0.351,A8IV/V,17.539385,1
7.6,1.28,0.98,1.127,K0III,13.136049,0
8.05,8.72,1.14,0.387,F2V,17.752583,1
8.45,5.95,1.06,0.433,F2V,17.322584,1
6.89,3.65,0.67,-0.126,B3V,14.701465,1
8.97,2.57,0.78,1.292,K3III,16.019665,0
8.26,11.16,0.93,0.516,G0V,18.498322,1
9.01,8.87,1.81,0.539,G0V,18.749619,1
7.88,4.86,0.92,1.14,K1III,16.31318,0
9.76,1.48,1.57,0.364,B8II,15.611309,0
8.32,9.71,0.85,0.591,G2V,18.256096,1
7.91,1.25,0.99,1.518,K4III,13.39455,0
6.57,8.25,0.78,0.053,A0V,16.15227,1
7.9,3.75,1.0,0.166,B9V,15.770157,1
7.81,19.04,0.97,0.493,F6V,19.208334,1
6.31,3.97,0.62,-0.057,B9IVp,14.303953,1
8.51,3.89,0.93,1.127,K1III,16.459747,0
9.52,3.27,1.38,0.003,A0V,17.09274,1
9.54,1.26,0.83,0.07,B9V,15.041853,1
6.88,1.57,0.84,0.83,F5Iab,12.859499,0
7.89,4.49,1.83,0.12,B9V,16.151232,1
6.46,9.33,0.52,0.158,A4V,16.309408,1
8.92,8.44,1.12,0.542,F7V,18.551712,1
8.07,10.56,0.89,0.617,F9V,18.18832,1
8.46,1.4,1.01,1.574,K4/K5III,14.19064,0
9.47,6.88,1.68,0.66,G2/G3V,18.657944,1
6.25,4.75,0.54,0.955,K0Ib,14.633469,0
8.6,8.29,0.97,0.435,F3V,18.192772,1
8.37,3.29,0.84,0.955,K0III,15.955979,0
11.18,68.71,5.02,1.51,M3Ve+...,25.3651,1
9.91,6.98,1.7,0.493,F4V,19.129276,1
8.38,2.3,1.11,1.298,K2III,15.188639,0
8.96,7.05,1.5,0.3,F0V,18.200947,1
8.97,2.02,1.55,1.015,K0III,15.4967575,0
8.35,2.37,1.09,1.498,K3III,15.223742,0
5.34,7.4,0.84,0.675,G4III...,14.686159,0
7.11,14.61,0.86,0.336,F2IV,17.93325,1
6.33,8.94,2.79,0.158,A2V,16.086689,1
7.38,0.28,0.92,-0.017,B2V:pe,9.615789,1
8.23,1.48,1.07,-0.056,B8II,14.081308,0
5.81,3.12,0.86,1.569,K2III,13.280773,0
9.23,4.71,2.33,0.458,F6V,17.595104,1
8.81,3.19,1.27,0.999,K0III,16.328955,0
5.83,6.48,0.58,1.042,G9III-IV,14.887875,1
7.59,3.15,0.92,1.165,K2III,15.0815525,0
5.88,-0.14,0.76,-0.046,B0III,6.6106405,0
8.51,3.37,1.31,1.024,K0III,16.14815,0
9.05,5.76,1.14,0.476,F6Iab:,17.852112,0
7.26,6.68,0.84,0.94,G8III,16.383883,0
7.66,7.17,0.83,1.118,K2III,16.937595,0
7.42,-0.09,1.09,1.519,K5III:,7.1912127,0
8.81,3.49,1.25,1.08,K1III,16.524128,0
6.14,8.99,0.88,1.031,K1III,15.908798,0
9.56,5.07,1.34,1.035,G8V,18.085041,1
8.26,0.91,1.14,0.792,G2V,13.055207,1
8.8,4.27,0.87,0.893,K0III,16.95214,0
8.51,0.26,0.85,0.183,B0III,10.584867,0
8.49,10.75,0.98,0.561,F8V,18.647041,1
7.03,8.3,30.01,-0.033,B9Vn,16.625391,1
9.61,2.8,1.59,0.592,G2IV/V,16.84579,1
8.32,5.34,1.07,0.448,F3/F5IV/V,16.957706,1
10.06,9.92,8.77,0.826,G8V,20.042559,1
8.95,1.68,0.84,0.996,G6/G8III,15.076546,0
8.25,3.26,1.13,1.236,K2III,15.816089,0
9.32,1.65,1.52,0.476,F3IV,15.407419,1
6.28,6.59,0.71,0.05,A3V,15.374428,1
9.23,1.37,1.43,1.068,K0III,14.913603,0
8.45,6.18,1.09,0.393,F2V,17.404942,1
6.74,5.55,0.74,0.049,A1/A2V,15.461465,1
8.39,9.89,1.74,0.49,F5IV,18.365982,1
6.51,12.84,0.8,0.298,A9III-IV,17.052826,1
6.23,9.59,0.74,0.193,A7III,16.139093,0
4.58,3.06,0.5,1.7,K3Ib,12.008607,0
6.7,2.61,1.04,-0.018,B5II/III,13.783202,0
8.36,0.34,0.91,0.718,G0Ib,11.017394,0
8.45,2.92,1.1,1.571,K4III,15.776914,0
8.18,4.39,1.49,0.322,A7V,16.392323,1
7.99,1.33,0.68,0.083,B9IV,13.609259,1
2.72,10.67,0.93,1.38,K3III,12.860822,0
8.76,0.68,1.26,0.1,B7II,12.9225445,0
8.7,1.98,1.01,-0.087,B8II/III,15.183326,0
5.94,2.31,0.58,0.7,F5:Ib-II,12.75806,0
8.93,0.41,1.14,0.06,A0V,11.993919,1
7.98,4.41,0.82,0.97,G9III,16.202192,0
7.04,3.73,0.92,0.248,B5V,14.898544,1
5.13,8.84,1.02,1.306,K2/K3III,14.862262,0
8.14,5.63,1.15,1.051,K0IIICN...,16.892544,0
8.69,3.74,1.25,0.216,B9IV,16.554358,1
8.97,5.83,0.99,0.999,G8III,17.798344,0
8.36,5.41,3.16,0.47,F3/5V: +A7/9,17.025986,1
8.47,7.33,0.77,0.33,A8III/IV,17.79552,1
9.57,6.54,1.62,0.628,G3/G5V,18.647888,1
3.72,8.8,0.89,-0.105,B6III,13.442413,0
8.6,1.24,1.04,1.61,K5/M0III:,14.067109,0
6.09,19.58,0.78,0.283,A9IV,17.549065,1
8.95,2.14,1.2,0.189,A2/A3V,15.602069,1
6.63,2.28,1.21,1.111,K1III,13.419674,0
7.95,2.18,0.66,-0.018,B8V,14.6422825,1
8.03,1.38,1.0,1.312,K2III,13.729395,0
7.58,2.49,0.88,0.129,A1III/IV,14.560997,1
9.09,-1.38,1.4,1.118,K0III,14.789396,0
7.21,2.0,0.78,-0.003,B6III,13.715151,0
8.17,3.71,1.21,0.994,K0III,16.01687,0
5.78,2.31,1.0,1.646,M1III,12.598061,0
7.44,12.21,0.85,0.448,F5V,17.873579,1
8.66,6.31,1.24,0.4,F3V,17.660147,1
8.03,4.12,1.07,0.97,G8/K0III,16.104485,0
8.14,4.43,0.83,1.12,K0III,16.37202,0
8.95,3.11,1.15,0.989,G8III,16.413803,0
9.54,3.67,1.61,0.546,F3V,17.36333,1
8.13,7.63,0.74,0.334,A9II/III,17.542622,0
6.53,4.93,0.66,1.388,K4III,14.994234,0
7.05,5.61,0.83,1.13,K1III-IV,15.794814,1
6.95,3.28,0.55,-0.12,B3Vn,14.529369,1
8.94,2.46,1.11,1.039,K0III,15.894675,0
8.3,5.56,0.67,0.248,A6/A7V,17.025375,1
9.08,17.14,0.85,0.657,G3V,20.250053,1
9.38,4.76,0.9,0.511,F6V,17.768036,1
8.82,3.68,0.75,1.017,G8III,16.649239,0
9.09,2.93,1.61,0.557,F7IV/V,16.42434,1
7.96,7.71,1.08,0.453,F5V,17.395271,1
8.51,7.79,1.11,0.432,F2V,17.967688,1
6.88,6.75,0.81,0.969,G8/K0III,16.02652,0
8.53,2.97,0.97,-0.16,B8/B9III,15.893782,0
8.65,4.04,1.44,0.501,F3/F5V,16.681908,1
8.37,3.15,1.52,1.162,K4/K5IV,15.861553,1
8.24,14.4,0.92,0.455,F5V,19.03181,1
5.4,7.29,0.96,0.45,A2V + GIII,14.713638,1
9.87,3.36,1.53,1.087,G8/K0V,17.501698,1
8.27,19.65,1.07,0.582,F8V,19.736813,1
8.33,5.48,0.97,0.14,A1/A2IV,17.023903,1
8.89,21.43,2.86,1.15,K4V,20.545113,1
9.1,4.65,1.28,1.241,K2III,17.437265,0
